name_of_work,content,,,,,,,,,,,,,,
Never Shall I Forget by Elie Wiesel,"Never shall I forget that night, the first night in camp, that turned my life into one long
night seven times sealed.
Never shall I forget that smoke.
Never shall I forget the small faces of the children whose bodies I saw
transformed into smoke under a silent sky.
Never shall I forget those flames that consumed my faith for ever.
Never shall I forget the nocturnal silence that deprived me for all eternity of the
desire to live.
Never shall I forget those moments that murdered my God and my soul and
turned my dreams to ashes.
Never shall I forget those things, even were I condemned to live
as long as God Himself.
Never",,,,,,,,,,,,,,
Leap Before You Look by W. H. Auden,"The sense of danger must not disappear:
The way is certainly both short and steep,
However gradual it looks from here;
Look if you like, but you will have to leap.

Tough-minded men get mushy in their sleep
And break the by-laws any fool can keep;
It is not the convention but the fear
That has a tendency to disappear.

The worried efforts of the busy heap,
The dirt, the imprecision, and the beer
Produce a few smart wisecracks every year;
Laugh if you can, but you will have to leap.

The clothes that are considered right to wear
Will not be either sensible or cheap,
So long as we consent to live like sheep
And never mention those who disappear.

Much can be said for social savoir-faire,
But to rejoice when no one else is there
Is even harder than it is to weep;
No one is watching, but you have to leap.

A solitude ten thousand fathoms deep
Sustains the bed on which we lie, my dear:
Although I love you, you will have to leap;
Our dream of safety has to disappear.",,,,,,,,,,,,,,
Joseph Jones by Owen Sheers,"Of course I remember Joseph
Fifty press-ups before a night out,
hair sheened with gel,
air dead with scent when he passed.

Told us all how he got his red wings
over the bandstand railing.
Her skirt, an umbrella blown inside out,
White tights shed to high heels.

How he would stand at the bar,
stroking his chest with one hand,
drinking with the other;
the making of a small town myth -


XR2
late night fights,
a trial once
with Cardiff Youth.",,,,,,,,,,,,,,
Love Songs In Age by Philip Larkin,"She kept her songs, they kept so little space,
The covers pleased her:
One bleached from lying in a sunny place,
One marked in circles by a vase of water,
One mended, when a tidy fit had seized her,
And coloured, by her daughter -
So they had waited, till, in widowhood
She found them, looking for something else, and stood

Relearning how each frank submissive chord
Had ushered in
Word after sprawling hyphenated word,
And the unfailing sense of being young
Spread out like a spring-woken tree, wherein
That hidden freshness sung,
That certainty of time laid up in store
As when she played them first. But, even more,

The glare of that much-mentionned brilliance, love,
Broke out, to show
Its bright incipience sailing above,
Still promising to solve, and satisfy,
And set unchangeably in order. So
To pile them back, to cry,
Was hard, without lamely admitting how
It had not done so then, and could not now.",,,,,,,,,,,,,,
Another Valentine by Wendy Cope,"Today we are obliged to be romantic
And think of yet another valentine.
We know the rules and we are both pedantic:
Today’s the day we have to be romantic.
Our love is old and sure, not new and frantic.
You know I’m yours and I know you are mine.
And saying that has made me feel romantic,
My dearest love, my darling valentine.",,,,,,,,,,,,,,
The Love Feast by W.H. Auden,"In an upper room at midnight
See us gathered on behalf
Of love according to the gospel
Of the radio-phonograph.

Lou is telling Anne what Molly
Said to Mark behind her back;
Jack likes Jill who worships George
Who has the hots for Jack.

Catechumens make their entrance;
Steep enthusiastic eyes
Flicker after tits and baskets;
Someone vomits; someone cries.

Willy cannot bear his father,
Lilian is afraid of kids;
The Love that rules the sun and stars
Permits what He forbids.

Adrian’s pleasure-loving dachshund
In a sinner’s lap lies curled;
Drunken absent-minded fingers
Pat a sinless world.

Who is Jenny lying to
In her call, Collect, to Rome?
The Love that made her out of nothing
Tells me to go home.

But that Miss Number in the corner
Playing hard to get…
I am sorry I’m not sorry…
Make me chaste, Lord, but not yet.",,,,,,,,,,,,,,
Farewell to Kurdistan by Rosemary Tonks,"As my new life begins, I start smiling at the people around me,
You would think I’d just been given a substantial meal,
I see all their good points.
The railroad sheds are full of greenish-yellow electricity,
It’s the great mad-day hour in London...that suddenly goes brown.
...My stupefying efforts make money
And to have a life!
Well, I’m leaving; nothing can hold me.


The platforms are dense to the foot,
Rich, strong-willed travellers pace about in the dark daylight,
And how they stink of green fatty soaps, the rich.
More dirty weather...you can hardly see the newspaper stand
With its abominable, ludicrous papers...which are so touching
I ought to laugh and cry, instead of gritting my teeth.


Let me inhale the filthy air for the last time
Good heavens, how vile it is...I could take you step by step
Back among the twilight buildings, into my old life...


The trains come in, boiling, caked !
The station half tames them, there’s the sound of blows; the uproar!
And I -- I behave as though I’ve been starved of noise,
My intestinr eats up this big music
And my new bourgeois soul promptly bursts into flames, in mid-air.


No use pouring me a few last minutes of the old life
From your tank of shadow, filled with lost and rotten people,
I admit: the same flow of gutter-sugar to the brain...


No one to see me off -- Ah!
I would like to be seen off; it must be the same agonizing woman
Who does not want to understand me, and who exposes me in public,
So that I can turn away, choked with the cold bile,
And feel myself loved absoltely; the bitch.


These carriages, that have heavy brown and black bread
Up their sides! But look out for the moment of cowardice,
It’s Charon’s rowing-boat that lurches and fouls my hand
As I climb on -- exile, Limboist.


...The way these people get on with thir lives; I bow down
With my few deeds and my lotus scars.
Last minutes...last greenish-yellow minutes
Of the lost and rotten hours...faro, and old winters dimmed,
On which the dark -- Yes, the black sugar-crust is forming, London.


I’m leaving! Nothing can hold me!
The trains, watered and greased, scream to be off.
Hullo -- I’m already sticking out my elbows for a piece of territory,
I occupy my place as though I can’t get enough of it
-- And with what casual, haughty, and specific gestures, incidentally.


Tradesmen, Pigs, regenerative trains -- I shall be saved!
I shall go to the centre of Europe; gliding,
As children skate on the diamond lid of the lake
Never touching gound -- Xenophile, on the blue-plated meadows.


Oh I shall live off myself, rainclothes, documents,
The great train simmers....Life is large, large!
...I shall live off your loaf of shadows, London;
I admit it, at the last.",,,,,,,,,,,,,,
Chainsaw Versus the Pampas Grass by Simon Armitage,"It seemed an unlikely match. All winter unplugged,
grinding its teeth in a plastic sleeve, the chainsaw swung
nose-down from a hook in the darkroom
under the hatch in the floor. When offered the can
it knocked back a quarter-pint of engine oil
and juices ran from its joints and threads,
oozed across the guide-bar and the maker’s name,
into the dry links.

From the summerhouse, still holding one last gulp
of last year’s heat behind its double doors, and hung
with the weightless wreckage of wasps and flies,
moth-balled in spider’s wool…
from there, I trailed the day-glo orange power-line
the length of the lawn and the garden path,
fed it out like powder from a keg, then walked
back to the socket and flicked the switch, then walked again
and coupled the saw to the flex – clipped them together.
Then dropped the safety catch and gunned the trigger.
No gearing up or getting to speeds, just an instant rage,
the rush of metal lashing out at air, connected to the main.
The chainsaw with its perfect disregard, its mood
to tangle with cloth, or jewellery, or hair.
The chainsaw with its bloody desire, its sweet tooth
for the flesh of the face and the bones underneath,
its grand plan to kick back against nail or knot
and rear up into the brain.
I let it flare, lifted it into the sun
and felt the hundred beats per second drumming in its heart,
and felt the drive-wheel gargle in its throat.

The pampas grass with its ludicrous feathers
and plumes. The pampas grass, taking the warmth and light
from cuttings and bulbs, sunning itself,
stealing the show with its footstools, cushions and tufts
and its twelve-foot spears.

This was the sledgehammer taken to crack the nut.
Probably all that was needed here was a good pull or shove
or a pitchfork to lever it out at its base.
Overkill. I touched the blur of the blade
against the nearmost tip of a reed – it didn’t exist.
I dabbed at a stalk that swooned, docked a couple of heads, dismissed the top third of its canes with a sideways sweep
at shoulder height – this was a game.
I lifted the fringe of undergrowth, carved at the trunk –
plant-juice spat from the pipes and tubes
and dust flew out as I ripped into pockets of dark, secret
warmth.
To clear a space to work
I raked whatever was severed or felled or torn
towards the dead zone under the outhouse wall, to be fired.
Then cut and raked, cut and raked, till what was left
was a flat stump the size of a manhole cover or barrel lid
that wouldn’t be dug with a spade or prized from the earth. Wanting to finish things off I took up the saw
and drove it vertically downwards into the upper roots,
but the blade became choked with soil or fouled with weeds,
or what was sliced or split somehow closed and mended
behind, like cutting at water or air with a knife.
I poured barbecue fluid into the patch
and threw in a match – it flamed for a minute, smoked for a minute more, and went
out. I left it at that.

In the weeks that came new shoots like asparagus tips
sprang up from its nest and by June
it was riding high in its saddle, wearing a new crown.
Corn in Egypt. I looked on
from the upstairs window like the midday moon.

Back below stairs on its hook, the chainsaw seethed.
I left it a year, to work back through its man-made dreams,
to try to forget.
The seamless urge to persist was as far as it got.",,,,,,,,,,,,,,
Only Child by D. Nurkse,"1
I cradled my newborn daughter
and felt the heartbeat
pull me out of shock.
She didn’t know
what her hands were:
she folded them. I asked her
was there a place
where there was no world.
She didn’t know
what a voice was: her lips
were the shape of a nipple.
2
In the park the child says:
watch me. It will not count
unless you see. And she shows me
the cartwheel, the skip, the tumble,
the tricks performed at leisure in midair,
each unknown until it is finished.
At home she orders:
see me eat. I watch her
curl on herself, sleep;
as I try to leave the dark room
her dreaming voice commands me: watch.
3
Always we passed the seesaw
on the way to the swings
but tonight I remember
the principle of the lever,
I sit the child at one end,
I sit near the center,
the fulcrum, at once she has power
to lift me off the earth
and keep me suspended
by her tiny weight, she laughing,
I stunned at the power of the formula.",,,,,,,,,,,,,,
The Fly by Ogden Nash,"God in his wisdom made the fly
And then forgot to tell us why.",,,,,,,,,,,,,,
