index,id,name_of_work,content,source
0,tiny_story:419504,TinyStory 419504,"Once there was a little girl. She was three years old and loved to explore outside. One day she walked to a big cliff in the countryside. It was a tall cliff surrounded by trees and flowers, with a pretty view. 

The little girl looked around and noticed something strange. She saw a shimmering light coming from the edge of the cliff. She walked closer and saw that it was a small, smelly ball of light. It was shining brightly. 

The girl asked, â€œWhat are you?â€
The little ball of light replied, â€œI am a starfish! I live on this cliff and get my energy from the sun. I shine so that other starfish can find me!â€ 

The girl smiled and said, â€œI love how you shine! I am going to come back and visit you again.â€ And she did! She came back every day to see her new friend. 
The starfish and the girl were very happy in the sunshine.",tiny_story
1,tiny_story:296150,TinyStory 296150,"Once upon a time, there was a little girl named Lily. She loved to draw and always carried her favorite pencil with her. One day, she met a boy named Max.

Max said, ""I have a plan. Let's draw a picture of a fair together!""

Lily loved the idea and they started to draw. They drew a big ferris wheel, a carousel, and lots of people having fun. But suddenly, Lily accidentally broke her pencil.

""I can't finish the picture,"" she said sadly.

""Don't worry,"" said Max. ""I have an extra pencil.""

So they continued to draw, but when they finished, a gust of wind blew the picture away.

Lily and Max were very sad that their picture was gone. But they promised each other that they would plan another fair and draw it again.",tiny_story
2,tiny_story:1062304,TinyStory 1062304,"Once upon a time, there was a little girl named Lily. She loved to play with her toys and cuddle with her teddy bear. One day, Lily's grandma came to visit and brought her a new toy. It was a shiny red car that could go vroom vroom!

Lily was so happy and gave her grandma a big hug. She played with her new toy all day long and it became a special memory for her. Every time she played with the car, she remembered how her grandma gave it to her and how much she loved her. From that day on, Lily cherished her new toy and the special memory it brought her.",tiny_story
3,poem_sum:903,I am not that Woman by Kishwar Naheed,"I am not that woman Selling you socks and shoes! Remember me, I am the one you hid In your walls of stone, while you roamed Free as the breeze, not knowing That my voice cannot be smothered by stones, I am the one you crushed With the weight of custom and tradition Not knowing That light cannot be hidden in darkness. Remember me, I am the one in whose lap You picked flowers And planted thorns and embers Not knowing That chains cannot smother my fragrance I am the woman Whom you bought and sold In the name of my own chastity Not knowing That I can walk on water When I am drowning. I am the one you married off To get rid of a burden Not knowing That a nation of captive minds Cannot be free. I am the commodity you traded in, My chastity, my motherhood, my loyalty. Now it is time for me to flower free. The woman on that poster, half-naked, selling socks and shoes- No, no, I am not that woman!",poem_sum
4,tiny_story:248980,TinyStory 248980,"Once upon a time, there were four friends. They were having a lot of fun together outside on a sunny day. 

""What should we do now?"" asked one of the friends.

The group thought for a while. Then one of the friends came up with an idea. 

""Let's squeeze each other tight and feel very comfortable!"" she said with a big smile. 

So the friends all squeezed each other tight. They all felt so happy and comfortable together. 

And after a few minutes, they all said goodbye to each other with another big squeeze before going home. 

The End.",tiny_story
5,tiny_story:1118496,TinyStory 1118496,"Once upon a time there was a little girl. She was very excited. She was going to the doctor.
She had never been to the doctor before.
At the doctor's office she felt a bit scared, but excited at the same time.
When the doctor opened the door all of a sudden, the little girl was surprised!
The doctor smiled and said, ""Hello, I'm the doctor. What can I help you with?""
The little girl smiled back and told the doctor all about her tummy ache.
The doctor was very kind and friendly. She examined the little girl and said, ""Everything seems fine. You must have eaten too much candy!""
The little girl was so surprised. She thanked the doctor and was so excited to go home.
The end.",tiny_story
6,poem_sum:255,Constantly Risking Absurdity by Lawrence Ferlinghetti,Constantly risking absurdity and death whenever he performs above the heads of his audience the poet like an acrobat climbs on rime to a high wire of his own making and balancing on eyebeams above a sea of faces paces his way to the other side of day performing entrechats and sleight-of-foot tricks and other high theatrics and all without mistaking any thing for what it may not be For he's the super realist who must perforce perceive taut truth before the taking of each stance or step in his supposed advance toward that still higher perch where Beauty stands and waits with gravity to start her death-defying leap And he a little charleychaplin man who may or may not catch her fair eternal form spreadeagled in the empty air of existence,poem_sum
7,tiny_story:1898530,TinyStory 1898530,"Once upon a time there was a little girl called Daisy. Daisy was very happy and loved to see the world around her. One day after school she saw a beautiful butterfly. It was yellow and she couldn't take her eyes off it.

Daisy quickly ran over and tried to catch it in her hands. But the butterfly was too fast and it flew away. Daisy was a bit sad. Then she saw her friend Maria. Maria had a butterfly net and she wanted to catch it too.

But Daisy was so envious of Maria's butterfly net that she decided to delay. She quickly closed her eyes and counted to ten. When she opened them the butterfly had flown away. Daisy was sad again, but then she saw another beautiful butterfly. She couldn't wait to catch it. 

The next day Daisy said goodbye to Maria and they agreed to catch butterflies together the next day. Daisy was so excited and couldn't wait. When it was time to meet up, she ran with her butterfly net to the same spot as before. 

Sure enough, the butterfly was still there! Daisy was so happy and couldn't believe her luck. She quickly used her net to capture the butterfly. Daisy and Maria cheered and laughed together. What a wonderful day!",tiny_story
8,poem_sum:1651,Killers by Carl Sandburg,"I AM singing to you Soft as a man with a dead child speaks; Hard as a man in handcuffs, Held where he cannot move: Under the sun Are sixteen million men, Chosen for shining teeth, Sharp eyes, hard legs, And a running of young warm blood in their wrists. And a red juice runs on the green grass; And a red juice soaks the dark soil. And the sixteen million are killing. . . and killing and killing. I never forget them day or night: They beat on my head for memory of them; They pound on my heart and I cry back to them, To their homes and women, dreams and games. I wake in the night and smell the trenches, And hear the low stir of sleepers in lines-- Sixteen million sleepers and pickets in the dark: Some of them long sleepers for always, Some of them tumbling to sleep to-morrow for always, Fixed in the drag of the world's heartbreak, Eating and drinking, toiling. . . on a long job of killing. Sixteen million men.",poem_sum
9,tiny_story:1924132,TinyStory 1924132,"Tommy was excited to go to the park. He looked at the colourful swings and slides. Suddenly, he saw a hidden massage chair. He had never seen such a thing before! He walked up to it and touched it. The chair suddenly came to life and started to display a massage. It moved around Tommy's shoulders and back, giving him the best massage ever! Tommy was so happy, he hopped up and down with glee. He kept telling everyone he saw about the amazing massage chair. Everyone was in awe of the hidden massage chair!",tiny_story
10,tiny_story:222302,TinyStory 222302,"Once upon a time, there was a little girl named Lily. She liked to play outside in the sun with her toys. One day, she saw a lizard crawling on the ground. The lizard was green and had a long tail. Lily was enthusiastic and wanted to catch the lizard. She tried to grab it with her hands, but the lizard ran away. 

Later that day, Lily's mom made her a popsicle. Lily was so happy and ate it very fast. But then, she accidentally dropped the popsicle on the ground. The popsicle started to melt and freeze on the hot ground. Lily saw the frozen popsicle and thought it looked like a little ice castle. She touched it with her finger, and it was very cold. She thought it was like the lizard, because it was also cold-blooded.",tiny_story
11,tiny_story:128946,TinyStory 128946,"Once upon a time, there was a big clock in the middle of a park. The clock had a big face and two long hands. It helped people know the time. Every day, kids would play near the clock and have fun.

One sunny day, a rude boy came to the park. He saw a small pond near the clock. The boy had a naughty idea. He took a big stick and started to splash water on the clock. The clock's face got all wet, and it was not happy.

The clock said, ""Please stop! That's not nice!"" The rude boy felt bad and said sorry. He helped clean the clock's face with a soft cloth. From that day on, the boy was kind and never splashed water on anyone. The clock and the boy became good friends, and they all played happily in the park together.",tiny_story
12,tiny_story:1094292,TinyStory 1094292,"One day, Andy and his Dad went to the zoo. Andy's Dad had a backpack. He carried it wherever they went. In the backpack, he had a lunch and some blankets. 

When they arrived at the zoo, they saw a red bus waiting. Andy was so excited. He said, ""Dad, can we ride the bus?""

His Dad said, ""Sure, let's go!"" Andy and his dad walked up the steps. The driver said, ""Welcome, take a seat.""

They found two red seats in the back of the bus. Andy's Dad asked, ""What do you think of the seat?""

Andy said, ""I like it!"" He gave the seat a big hug. 

Andy and his Dad rode the bus around the zoo all day. Everywhere they stopped, more people came on and found red seats. Everyone was happy and welcomed the new passengers into the bus. 

At the end of the day, Andy and his Dad left the zoo and said goodbye to the bus driver. Andy said, ""I had a great day. I'm glad we got to ride the red bus!""",tiny_story
13,poem_sum:893,Tomino's Hell by Saijo Yaso,"Elder sister vomits blood, younger sister's breathing fire while sweet little Tomino just spits up the jewels.2 All alone does Tomino go falling into that hell, a hell of utter darkness, without even flowers. Is Tomino's big sister the one who whips him? The purpose of the scourging hangs dark in his mind.3 Lashing and thrashing him, ah! But never quite shattering. One sure path to Avici,4 the eternal hell. Into that blackest of hells guide him now, I pray-- to the golden sheep, to the nightingale. How much did he put in that leather pouch to prepare for his trek to the eternal hell? Spring is coming to the valley, to the wood, to the spiraling chasms of the blackest hell. The nightingale in her cage, the sheep aboard the wagon, and tears well up in the eyes of sweet little Tomino.5 Sing, o nightingale, in the vast, misty forest-- he screams he only misses his little sister. His wailing desperation echoes throughout hell-- a fox peony opens its golden petals. Down past the seven mountains and seven rivers of hell-- the solitary journey of sweet little Tomino. If in this hell they be found, may they then come to me, please, those sharp spikes of punishment from Needle Mountain.6 Not just on some empty whim Is flesh pierced with blood-red pins: they serve as hellish signposts for sweet little Tomino.",poem_sum
